Admit,Gender,Dept
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
1,Male,A
